
German Government Debt Benchmark - Zero Coupon;German Government Debt Benchmark - Zero Coupon;German Government Debt Benchmark - Zero Coupon;German Government Debt Benchmark - Zero Coupon;German Government Debt Benchmark - Zero Coupon;German Government Debt Benchmark - Zero Coupon;German Government Debt Benchmark - Zero Coupon;German Government Debt Benchmark - Zero Coupon;German Government Debt Benchmark - Zero Coupon;German Government Debt Benchmark - Zero Coupon;German Government Debt Benchmark - Zero Coupon;German Government Debt Benchmark - Zero Coupon;German Government Debt Benchmark - Zero Coupon;French Government Benchmark Zero;French Government Benchmark Zero;French Government Benchmark Zero;French Government Benchmark Zero;French Government Benchmark Zero;French Government Benchmark Zero;French Government Benchmark Zero;French Government Benchmark Zero;French Government Benchmark Zero;French Government Benchmark Zero;French Government Benchmark Zero;French Government Benchmark Zero;French Government Benchmark Zero;French Government Benchmark Zero;French Government Benchmark Zero;UK Government Debt Benchmark - Zero Coupon;UK Government Debt Benchmark - Zero Coupon;UK Government Debt Benchmark - Zero Coupon;UK Government Debt Benchmark - Zero Coupon;UK Government Debt Benchmark - Zero Coupon;UK Government Debt Benchmark - Zero Coupon;UK Government Debt Benchmark - Zero Coupon;UK Government Debt Benchmark - Zero Coupon;UK Government Debt Benchmark - Zero Coupon;UK Government Debt Benchmark - Zero Coupon;UK Government Debt Benchmark - Zero Coupon;UK Government Debt Benchmark - Zero Coupon;UK Government Debt Benchmark - Zero Coupon;UK Government Debt Benchmark - Zero Coupon;UK Government Debt Benchmark - Zero Coupon;Italian Government Benchmark Zero;Italian Government Benchmark Zero;Italian Government Benchmark Zero;Italian Government Benchmark Zero;Italian Government Benchmark Zero;Italian Government Benchmark Zero;Italian Government Benchmark Zero;Italian Government Benchmark Zero;Italian Government Benchmark Zero;Italian Government Benchmark Zero;Italian Government Benchmark Zero;Italian Government Benchmark Zero;Italian Government Benchmark Zero;Italian Government Benchmark Zero;Japanese Government Debt Benchmark - Zero Coupon;Japanese Government Debt Benchmark - Zero Coupon;Japanese Government Debt Benchmark - Zero Coupon;Japanese Government Debt Benchmark - Zero Coupon;Japanese Government Debt Benchmark - Zero Coupon;Japanese Government Debt Benchmark - Zero Coupon;Japanese Government Debt Benchmark - Zero Coupon;Japanese Government Debt Benchmark - Zero Coupon;Japanese Government Debt Benchmark - Zero Coupon;Japanese Government Debt Benchmark - Zero Coupon;Japanese Government Debt Benchmark - Zero Coupon;Japanese Government Debt Benchmark - Zero Coupon;US Government Debt Benchmark - Zero Coupon;US Government Debt Benchmark - Zero Coupon;US Government Debt Benchmark - Zero Coupon;US Government Debt Benchmark - Zero Coupon;US Government Debt Benchmark - Zero Coupon;US Government Debt Benchmark - Zero Coupon;US Government Debt Benchmark - Zero Coupon;US Government Debt Benchmark - Zero Coupon;US Government Debt Benchmark - Zero Coupon;US Government Debt Benchmark - Zero Coupon;US Government Debt Benchmark - Zero Coupon;US Government Debt Benchmark - Zero Coupon;US Government Debt Benchmark - Zero Coupon;US Government Debt Benchmark - Zero Coupon;US Government Debt Benchmark - Zero Coupon;US Government Debt Benchmark - Zero Coupon;US Government Debt Benchmark - Zero Coupon;
1/12;3/12;12/12;24/12;36/12;48/12;60/12;84/12;108/12;120/12;180/12;240/12;360/12;1/12;3/12;6/12;12/12;24/12;36/12;48/12;60/12;84/12;108/12;120/12;180/12;240/12;300/12;360/12;1/12;3/12;12/12;24/12;36/12;48/12;60/12;84/12;108/12;120/12;180/12;240/12;360/12;480/12;600/12;1/12;3/12;6/12;12/12;24/12;36/12;48/12;60/12;84/12;108/12;120/12;180/12;240/12;360/12;3/12;12/12;24/12;36/12;48/12;60/12;84/12;108/12;120/12;180/12;240/12;360/12;1/12;7/12;14/12;1/12;3/12;6/12;12/12;24/12;36/12;48/12;60/12;84/12;108/12;120/12;180/12;240/12;360/12;
20081208;2.19153499;2.11702368;2.15090304;2.26952159;2.61198131;2.76000271;2.72750854;3.04590527;3.16199358;3.21313245;3.52663805;4.01660030;3.54499767;2.27413007;2.18068472;2.02591583;2.20715205;2.68742568;2.91898791;3.12594628;3.25462293;3.39724473;3.63700606;3.70815099;3.90750304;4.06873594;3.85494743;3.69520668;1.85000000;1.59800000;1.29300000;2.59491152;3.04926745;3.12545752;3.41274131;3.45691207;3.48557910;3.72182924;4.55552033;4.58437337;3.94612021;4.00254388;3.68372527;2.19153499;2.11702368;2.14162185;2.15090304;3.37848987;3.96553666;4.16887872;4.20130037;4.39656933;4.64095052;4.63381552;5.09090735;5.09484280;5.47021756;0.47000000;0.54000000;0.58019256;0.71617064;0.82234140;0.91376859;0.91782796;1.28461230;1.41785746;2.04833302;2.17936089;2.30723956;0.03041897;0.30438919;0.35515192;0.02782518;0.02617758;0.24936154;0.57018289;0.96091635;1.25201705;1.56399992;1.75704345;2.38949400;2.74171168;2.86249768;3.08120569;3.19064810;3.30014949;
20081209;1.89901075;2.12111543;2.18692056;2.26500837;2.67560958;2.82657443;2.79583911;3.09589745;3.21788248;3.26790113;3.58719380;4.08534754;3.63694292;1.97408778;2.18122009;2.06552614;2.24702973;2.66505790;2.91688127;3.14454717;3.28974815;3.43353608;3.67290477;3.74594154;3.94431643;4.12551356;3.91655375;3.75960279;1.79200000;1.56800000;1.23200000;2.56821238;3.06098389;3.12197031;3.42329639;3.46373248;3.48764446;3.71544205;4.55590941;4.55537341;3.93706209;3.98717542;3.69039620;1.89901075;2.12111543;2.11785051;2.18692056;3.30931333;3.87749772;4.07045071;4.14191887;4.35490970;4.62267296;4.63517811;5.08846508;5.06779458;5.39156560;0.47500000;0.51500000;0.56520178;0.70115776;0.80223203;0.87830597;0.90816219;1.30147828;1.43479703;2.07752123;2.21432857;2.34140993;0.04055965;0.25362674;0.30438031;0.02303033;0.01554339;0.25799803;0.45572190;0.86567837;1.14623399;1.44661468;1.63387897;2.28386071;2.64586661;2.76958645;2.97803146;3.08233431;3.18669075;
20081210;2.13608875;2.07347275;2.12441075;2.23944536;2.65604132;2.80372924;2.77191201;3.10792673;3.23850594;3.28708679;3.63288822;4.16415568;3.71551054;2.19926042;2.11928729;1.99399847;2.19682105;2.66646621;2.92134513;3.15241723;3.29832369;3.44032574;3.68216610;3.75847536;3.98989690;4.18784209;3.99303100;3.84532469;1.81800000;1.59800000;1.15100000;2.50294859;3.03513090;3.15303716;3.45949414;3.47775302;3.48654911;3.70470604;4.57255032;4.57098379;3.95644363;4.00584786;3.69340302;2.13608875;2.07347275;2.11266496;2.12441075;3.22616624;3.83832846;4.04714626;4.11496899;4.31618437;4.59214218;4.60457364;5.13899309;5.11432393;5.45259557;0.48500000;0.53500000;0.58522358;0.73129650;0.83747168;0.90844995;0.94343252;1.31911564;1.44379594;2.08680734;2.22384754;2.33064295;0.01013914;0.20287666;0.20287272;0.02421328;0.01518209;0.20916409;0.48330725;0.87450449;1.16353973;1.46130287;1.64817611;2.31523524;2.68677666;2.81352594;3.02293456;3.12771993;3.23255940;
20081211;2.08669410;2.05102991;2.11294037;2.17680571;2.61183355;2.76785993;2.74876512;3.09099356;3.22471324;3.27551863;3.63708011;4.18760308;3.79506540;2.15106967;2.10654800;1.99133548;2.17771155;2.59046094;2.85584348;3.09418863;3.24329541;3.38951401;3.66104339;3.74887164;3.99572499;4.25112853;4.06029579;3.91292144;1.83000000;1.63800000;1.06900000;2.43666517;3.05105196;3.17896156;3.47758730;3.51081314;3.51551546;3.74720627;4.61652695;4.61529342;3.99420344;4.04389968;3.73964869;2.08669410;2.05102991;2.05273472;2.11294037;3.22042409;3.83565823;4.09935962;4.16317378;4.30136370;4.56591778;4.59026427;5.12782714;5.10113127;5.44293233;0.48000000;0.52000000;0.57020714;0.72130745;0.81731017;0.88828420;0.92637686;1.32742880;1.45540517;2.09875678;2.23555735;2.36265983;0.04055965;0.20287666;0.20287243;0.00626575;0.00659426;0.20855792;0.47248861;0.81459939;1.09364334;1.39453145;1.58395704;2.24165573;2.60797066;2.73360076;2.98114087;3.10502425;3.22898323;
20081212;1.88105037;2.04212930;2.12650456;2.22525797;2.66659421;2.84043023;2.81780391;3.18682100;3.31342081;3.34527150;3.71593235;4.27905238;3.88610166;1.98020475;2.10352208;1.98765462;2.19609080;2.63436346;2.91566171;3.16775161;3.32054248;3.46407717;3.72679471;3.81257303;4.10865812;4.33070433;4.12743923;3.97294056;1.83200000;1.64800000;0.98100000;2.37862350;2.98853999;3.14722876;3.38350113;3.55214857;3.54769147;3.74544776;4.63796664;4.64439033;4.02563440;4.09239585;3.78518632;1.88105037;2.04212930;2.04713920;2.12650456;3.29211027;3.91162601;4.25416527;4.32116475;4.47410944;4.67963310;4.71830318;5.28951823;5.18401178;5.35210580;0.47000000;0.51000000;0.54013190;0.69119774;0.78717751;0.84791969;0.88863563;1.30780841;1.42478812;2.07308964;2.20974339;2.35728834;0.09127048;0.25362674;0.25362057;0.03640453;0.03702508;0.20470222;0.43448772;0.77567447;1.04880764;1.35432298;1.54729820;2.20316445;2.56845637;2.69382882;2.95074654;3.07932749;3.20798991;
20081215;2.10002083;1.95777949;2.09260137;2.12541454;2.54896398;2.71340950;2.67852828;3.05872205;3.21476401;3.24987708;3.64270175;4.23132685;3.86651227;2.00814331;2.00743347;1.97142091;2.16607037;2.53649837;2.79801416;3.05030586;3.20628910;3.39010726;3.66159023;3.75253466;4.06184656;4.31245060;4.11743280;3.96838528;1.86700000;1.64500000;0.88900000;2.29508272;2.92135051;3.07887733;3.31273235;3.38803037;3.38805358;3.59313996;4.49789193;4.50566608;3.90033345;3.96672279;3.67538768;2.10002083;1.95777949;2.04449402;2.09260137;3.35814757;3.82916144;4.15284894;4.17348488;4.40563474;4.65024450;4.68308915;5.25869093;5.17151898;5.38418868;0.46500000;0.51000000;0.54013190;0.69119774;0.79225273;0.85809585;0.88799238;1.30766740;1.41375449;2.03823025;2.19421737;2.35540728;0.09127071;0.30438919;0.30438031;0.02609768;0.03821921;0.21879088;0.43275764;0.75919480;1.01938842;1.32879564;1.52613634;2.16353177;2.51851103;2.63974765;2.87719759;2.99602688;3.11492577;
20081216;2.07688675;2.07328393;2.07669937;2.10232591;2.53197613;2.69952243;2.66356657;3.03046051;3.14562025;3.18467918;3.57983549;4.16880745;3.77821295;2.14004366;2.13300706;1.93756163;2.13663720;2.51670165;2.78949238;3.05097301;3.20523221;3.36562415;3.60224343;3.70354540;3.98212174;4.25897758;4.05073671;3.89065666;1.87000000;1.63700000;0.84500000;2.24154356;2.87178320;3.02932489;3.26738149;3.32278258;3.31872105;3.54723740;4.42612910;4.43381485;3.84648697;3.92127589;3.64492582;2.07688675;2.07328393;2.03215888;2.07669937;3.32660264;3.80391329;4.12969014;4.15144431;4.35956287;4.57291290;4.59250841;5.16044746;5.12261773;5.44744948;0.46000000;0.48500000;0.51511612;0.66110253;0.76212945;0.81774996;0.88877520;1.30324503;1.40385806;1.99877832;2.15509664;2.34416426;0.13184876;0.25362674;0.30438031;0.02726543;0.02155337;0.22393439;0.35803529;0.67456514;0.91162769;1.16846065;1.33935671;1.93213982;2.26221757;2.37530560;2.61568353;2.73597955;2.85634699;
20081217;2.11921627;1.81737990;1.98418873;1.89906043;2.35274043;2.54623455;2.50303985;2.90456400;3.02126417;3.04604312;3.45472213;4.05694423;3.66574584;2.09207923;1.89483303;1.94233572;2.06220873;2.31180283;2.58033071;2.84841843;3.03209613;3.24470958;3.49102388;3.57087361;3.84288591;4.13391778;3.94000918;3.79030819;1.77700000;1.51500000;0.69200000;2.05266026;2.69570783;2.87975319;3.10211197;3.16776164;3.16730181;3.37759104;4.29573990;4.28472131;3.73654838;3.83216439;3.56332318;2.11921627;1.81737990;1.94282574;1.98418873;3.23366661;3.67615169;4.00399969;4.00097537;4.20482934;4.43696564;4.46660049;5.07331423;5.04539013;5.39109504;0.35000000;0.43500000;0.46011376;0.60097924;0.71207840;0.77785225;0.85906124;1.23057652;1.32017299;1.90700006;2.10069699;2.28145051;0.06084254;0.10141361;0.30438031;0.03888013;0.00584051;0.18452086;0.47620485;0.77590882;1.02638511;1.26270016;1.41868130;1.92530401;2.20731149;2.30478978;2.54840704;2.67032566;2.79231767;
20081218;2.03286138;1.90090660;1.91633569;1.88364218;2.31659408;2.48182423;2.44213885;2.83774017;2.97144598;3.01477834;3.38101909;3.93117410;3.52650375;2.08947446;1.95819229;1.79013066;1.99530966;2.29675293;2.54878448;2.79379824;2.96339348;3.18484067;3.44515275;3.53468101;3.77639419;4.00585785;3.79826670;3.64142806;1.76000000;1.46000000;0.57800000;1.92861020;2.58465346;2.77075896;2.98742960;3.14679718;3.15499812;3.33397735;4.31341752;4.31534026;3.79854198;3.90389123;3.59897084;2.03286138;1.90090660;1.87737245;1.91633569;3.21656247;3.63044524;3.95175455;3.96101839;4.14542892;4.41580208;4.41376613;4.99554741;4.98424260;5.36076855;0.34500000;0.43500000;0.44005918;0.59601980;0.71217725;0.78303831;0.86421786;1.21455816;1.29873113;1.84452012;2.05709577;2.23780353;0.05070083;0.19976932;0.24947688;0.01522106;0.00645656;0.16314941;0.41132813;0.70761127;0.95460772;1.15973091;1.29698784;1.79587405;2.07356712;2.16963613;2.41446729;2.53699404;2.65959495;
20081219;2.01305952;1.86570602;1.87263494;1.87397189;2.31607383;2.48538553;2.46245401;2.90065303;3.02695349;3.06308317;3.44846017;4.02344755;3.61995554;2.07472754;1.92864192;1.75157532;1.95945871;2.30179880;2.57207680;2.80719842;2.96937756;3.22363743;3.51478880;3.61576010;3.89780832;4.14021731;3.93323854;3.77664340;1.76200000;1.50200000;0.64600000;1.94211739;2.59724098;2.77395008;2.99181927;3.12931797;3.13464582;3.32069180;4.30496347;4.30240846;3.80411426;3.89217954;3.60698345;2.01305952;1.86570602;1.83897909;1.87263494;3.18349978;3.62873001;3.95195242;3.95988562;4.17913406;4.51170689;4.53595044;5.07554324;5.04958435;5.39526687;0.25000000;0.38000000;0.42517700;0.56094778;0.68212664;0.75805531;0.83404981;1.17342888;1.25752025;1.80227746;2.02072069;2.22824017;0.05070076;0.20287666;0.25362057;0.01949274;0.02469654;0.14958708;0.39613829;0.78906350;1.02940140;1.24819793;1.39340062;1.86645225;2.12973867;2.22069942;2.44969868;2.56429554;2.67895726;
